,Speciality,address,clinic,doctor-name,doctor_image,telephone
10,['GP/Family Doctor'],"140, Jalan Besar, 81750 Masai",[Qualitas Health] Klinik Asia Masai,['Dr Dhaneshkumar Kumarasingam'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+07-2510 808
11,['GP/Family Doctor'],"Lobby Floor, Bangunan Ming, Jalan Bukit Nanas, Kuala Lumpur, 50250, Wilayah Persekutuan Kuala Lumpur","[Qualitas Health] Klinik Catterall, Khoo & Raja Malek (Bangunan Ming)",['Dr. Tengku Zurina Tengku Udaidillah'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+03220783200
12,['GP/Family Doctor'],"Lot 6b, Lot 2, Ge Mall, No.33, Jalan Ampang, Kuala Lumpur, 50450, Wilayah Persekutuan Kuala Lumpur","[Qualitas Health] Klinik Catterall, Khoo & Raja Malek (Jalan Ampang)",['Dr. Rajalaskhmi Nadarajah'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+034253 5949
13,['GP/Family Doctor'],"Suite 3A, Level 3A, Menara CIMB Jalan Stesen Sentral 2, KL Sentral 2, 50470 Kuala Lumpur","[Qualitas Health] Klinik Catterall, Khoo & Raja Malek (Menara CIMB)",['Dr. Low Ching Mun'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+0322766622
14,['GP/Family Doctor'],"No.47, Jalan Othman, Petaling Jaya, 46000, Selangor Darul Ehsan","[Qualitas Health] Klinik Catterall, Khoo & Raja Malek (Petaling Jaya)",['Dr. Lim Bee Yuen'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+0377821788
15,['GP/Family Doctor'],"Suite 3B-3-6, Level 3, Block 3B, Plaza Sentral, Jalan Stesen Sentral, 50470, Kuala Lumpur","[Qualitas Health] Klinik Catterall, Khoo & Raja Malek (Plaza Sentral)",['Dr. Amirtha Davi K.S Sabaratnam'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+0322730244
16,['GP/Family Doctor'],"Suite G.1B, Ground Floor, Wisma FGV, Jalan Raja Laut, 50350 Kuala Lumpur","[Qualitas Health] Klinik Catterall, Khoo & Raja Malek (Wisma FGV)",['Dr. Yustina Burhan'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+0326937670
17,['GP/Family Doctor'],"105 Jalan Keris Satu, Taman Sri Tebrau, 80050 Johor Bahru",[Qualitas Health] Klinik Daiman,['Dr Toh Cheng Keat'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+07-3325 531
18,"['GP/Family Doctor', 'GP/Family Doctor']","No.41, Jalan Seni, 81400 Senai, Johor",[Qualitas Health] Klinik Dhas,"['Dr Magilan Katirber', 'Dr Mohandhas Pankajan']","['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn']",+07-5995 058
19,"['GP/Family Doctor', 'GP/Family Doctor']","No,12A-1, Gf, Jalan USJ 9/5Q, Subang Business Centre, Subang Jaya, 47620, Selangor Darul Ehsan",[Qualitas Health] Klinik Dr Nur Ainita (Subang),"['Dr Junaidi Ismail', 'Dr Vasantha Poobalasingam']","['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn']",+035633 0913
20,['GP/Family Doctor'],"725-U, Jln Sungai Dua,11700 Gelugor, Pulau Pinang",[Qualitas Health] Klinik Health Plus,['Dr Amish Gunvantrai Patel'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+04-6577750
21,"['GP/Family Doctor', 'GP/Family Doctor']","70-1-64, D'piazza Mall, Jalan Mahsuri, Bandar Bayan Baru, 11950 Bayan Lepas, Pulau Pinang",[Qualitas Health] Klinik IMA (Bayan Lepas),"['Dr Goh Kim Guan', 'Dr. Mohamed Izham Bin Mohamed Iqbal']","['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn']",+04-645 2793
22,"['GP/Family Doctor', 'GP/Family Doctor']","4703, Jalan Bagan Luar, Kampung Benggali, 12000 Butterworth, Pulau Pinang",[Qualitas Health] Klinik IMA (Butterworth),"['Dr. Mohamed Izham Bin Mohamed Iqbal', 'Dr. Wong Yew Ken']","['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn']",+04-3299156
23,"['GP/Family Doctor', 'GP/Family Doctor']","4E, Ground Floor, Logan Heritage Building, Beach Street, 10300 George Town, Pulau Pinang",[Qualitas Health] Klinik IMA (Georgetown),"['Dr Goh Kim Guan', 'Dr. Mohamed Izham Bin Mohamed Iqbal']","['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn']",+04-2612967
24,['GP/Family Doctor'],"02-1A, Jln Bdr, Pusat Perdagangan, 81700, Pasir Gudang",[Qualitas Health] Klinik Johor (Pasir Gudang),['Dr.Shanti Subramanian'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+072767461
25,['GP/Family Doctor'],"Permas Mall G-5, Block A, No 3 Jln Permas Utara, Bandar Baru Permas Jaya 81750, Masai, Johor",[Qualitas Health] Klinik Johor (Permas Mall),['Dr.A.R Leenah Devi Retna Rajah'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+073874929
26,['GP/Family Doctor'],"Ground Floor, Bangunan Ghee Hong, 47 Jalan Ampang, 50450 Kuala Lumpur",[Qualitas Health] Klinik Kumpulan Medic (Ampang),['Dr. Abu Kassim Bin Abdul Majid'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+0320781532
27,"['GP/Family Doctor', 'GP/Family Doctor']","78, Jalan SS 21/35, Damansara Utama, 47400 Petaling Jaya",[Qualitas Health] Klinik Kumpulan Medic (Damansara Utama),"['Dr M. Ravindran M. G. Nair', 'Dr. Nor Tahirah Binti Aasimudin']","['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn']",+60377284955
28,"['Physician (Internal Medicine), GP/Family Doctor']","A-1-1, Evesuite Ara Damansara, Jalan PJU 1A/41 Ara Damansara, 47301 Petaling Jaya, Selangor.",[Qualitas Health] Klinik Kumpulan Medic (Evesuite),['Kogila Hari Krishnan'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvbWVtYmVyL0RfNjAwYTlhODg3NjNmNi5qcGc='],+603 7886 3218
29,"['GP/Family Doctor', 'GP/Family Doctor', 'GP/Family Doctor']","No. 97, Main Road, 81750 Masai",[Qualitas Health] Klinik Malaysia (Masai),"['Dr Abraham Mathew', 'Dr Shanthi Priscilla Ryan', 'Dr. Surendran Peter Rajaram']","['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn']",+07-2511 369
30,"['GP/Family Doctor', 'GP/Family Doctor', 'GP/Family Doctor']","No. 10, Jalan 10/2, Unit Perjiranan 10, 81700 Pasir Gudang",[Qualitas Health] Klinik Malaysia (Pasir Gudang),"['Dr Abraham Mathew', 'Dr Shanthi Priscilla Ryan', 'Dr. Surendran Peter Rajaram']","['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn']",+07-2511 302
31,['GP/Family Doctor'],"91-D, Jalan Tun Perak, Bachang, 75300, Melaka",[Qualitas Health] Klinik Mano,['Dr Manoharan Muthuthamby'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+06-3376988
32,"['GP/Family Doctor', 'GP/Family Doctor', 'GP/Family Doctor', 'GP/Family Doctor']","No.4B & C, Jalan Raja Syed Alwi, 01000 Kangar, Perlis",[Qualitas Health] Klinik Menon,"['Dato’ Dr. Mohamad Sha bin Ahmad', 'Datuk Dr. Vanamaly K.S. Menon', 'Dr. Jivagi Subramaniam', 'Dr. Lim Boon Hong']","['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn']",+04-976 1457
33,"['GP/Family Doctor', 'GP/Family Doctor']","No.377, 4th Mile, Jalan Ampang, Kuala Lumpur, 50450, Wilayah Persekutuan Kuala Lumpur",[Qualitas Health] Klinik Ng Dan Lee (Jalan Ampang),"['Dr. Komathy Radhakrishnan', 'Dr. Lee Ah Keh']","['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn']",+0342560764
34,['GP/Family Doctor'],"No.462 - 464, Jalan Pudu, Kuala Lumpur, 55100, Wilayah Persekutuan Kuala Lumpur",[Qualitas Health] Klinik Ng Dan Lee (Jalan Pudu),['Dr. Abdul Halim Mak Bin Abdullah'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+0392220751
35,['GP/Family Doctor'],"No. 25, Jalan Metro Perdana Barat 1, Taman Usahawan, Kepong, 52100, Kuala Lumpur",[Qualitas Health] Klinik Ng Dan Lee (Metro Perdana),['Dr. Phan Yoke Meng'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+03-6257 1436
36,"['GP/Family Doctor', 'GP/Family Doctor', 'GP/Family Doctor']","No.31, Jalan 19A, Section 19, Shah Alam, 40300, Selangor Darul Ehsan",[Qualitas Health] Klinik Ng Dan Lee (Shah Alam),"['Dr. Asvinder Singh Khalae', 'Dr. Dharmendran Chelliah Navaratnam', 'Dr. Selvamalar Ponnambalam']","['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn']",+03-5542 5286
37,['GP/Family Doctor'],"265 Jalan Mahkota, Taman Maluri, Cheras, 55100 Kuala Lumpur",[Qualitas Health] Klinik Ng dan Lee (Taman Maluri),['Dr. Sujatha Veeraraghavan'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+0392852820
38,['GP/Family Doctor'],"No. 34, Jalan U 1/36, Hicom Glenmarie Industrial Park, 40150 Shah Alam, Selangor",[Qualitas Health] Klinik Omega,['Dr. J. R. Moorthy'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+03-5569 5644
39,['GP/Family Doctor'],"13, Jln TJ1, Taman Tanjong Jaya, Tanjong Kling, 76400 Melaka",[Qualitas Health] Klinik Panicker,['Dr. R. S. Kumar'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+06-3511980
40,"['Dentist - General, Dentistry - Oral Health']","A-1-02, Evesuite Ara Damansara, Jalan PJU 1A/41 Ara Damansara, 47301 Petaling Jaya, Selangor.",[Qualitas Health] Klinik Pergigian Smile Focus,['Dr Simon Martin'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvbWVtYmVyL0RfNjAwYWIwNTM4MzExYS5qcGVn'],+603 7886 6505
41,['GP/Family Doctor'],"No.75-C, Jalan Dato K. Pathmanaban, 71000 Port Dickson",[Qualitas Health] Klinik Port Dickson,['Dr Sivapatham Tharmalingam'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+06-6472800
42,['GP/Family Doctor'],"Lot 7, Wisma MCIS Annexe, Jalan Barat, 46200 Petaling Jaya",[Qualitas Health] Klinik Prime Care (Wisma MCIS),['Dr. Thiakarajan A/L Pachiappan'],['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn'],+0379550550
43,"['GP/Family Doctor', 'GP/Family Doctor']","18-B1, Jalan SS 6/13, Kelana Jaya, 47301 Petaling Jaya",[Qualitas Health] Klinik Rakan Medic (Kelana Jaya),"['Dr Adleen Binti Che Ani', 'Dr Nasreen Siddiq']","['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn']",+0378035688
44,"['GP/Family Doctor', 'GP/Family Doctor']","No. 19, Ground Floor, Jalan 4/11A, 43650 Bandar Baru Bangi",[Qualitas Health] Klinik Rakan Medik,"['Dr. Adlina Binti Abd Rahman', 'Dr. R. S. Kumar']","['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn']",+03-8925 6566
45,"['GP/Family Doctor', 'GP/Family Doctor']","43, Jalan Balai, Kampung Masjid, 31900 Kampar, Perak",[Qualitas Health] Klinik Rama,"['Dr Muhammad Afifi Hamzah Bin Abd Majid', 'Dr Sundhandhira Kumar Rengasamy']","['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn']",+05-4651 015
46,"['GP/Family Doctor', 'GP/Family Doctor']","No.1761, Gf, Rasah Utama, Jalan Rasah, Seremban, 70300, Negeri Sembilan Darul Khusus",[Qualitas Health] Klinik Rasah Dan Surgeri,"['Dr. Naysaduray Selvaduray', 'Dr. R. S. Kumar']","['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn']",+06-6321313
47,"['GP/Family Doctor', 'GP/Family Doctor']","No.5722, Jalan Ts 2/10, Taman Semarak 11, Nilai, 71800, Negeri Sembilan Darul Khusus",[Qualitas Health] Klinik Ravi & Surgeri,"['Dr Yashmini Kesavaraj', 'Dr. R. S. Kumar']","['https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn', 'https://www.getdoc.com/en/common/image/display/75/75/dXBsb2FkZWQvZGVmYXVsdC9kZWZhdWx0LWF2dC1kb2N0b3IuanBn']",+06-7994578
